White;10,000 Syrian refugees.
White;50 mg of Zoloft daily.
Black;50% of all marriages end in _____.
White;50,000 volts straight to the nipples.
White;72 virgins.
White;8 oz. of sweet Mexican black-tar heroin.
Black;_____ + _____ = _____.
Black;_____ is a slippery slope that leads to _____.
Black;_____. Betcha can't have just one!
Black;_____. High five, bro.
Black;_____. It's a trap!
Black;_____. That was so metal.
Black;_____: kid-tested, mother-approved.
White;A bag of magic beans.
White;A balanced breakfast.
White;A ball of earwax, semen, and toenail clippings.
White;A bird that shits human turds.
White;A bitch slap.
White;A bleached asshole.
White;A Bop It.?
White;A bowl of mayonnaise and human teeth.
White;A brain tumor.
White;A crucifixion.
White;A disappointing birthday party.
White;A falcon with a cap on its head.
White;A fart so powerful that it wakes the giants from their thousand-year slumber.
White;A fetus.
White;A Fleshlight.©
White;A fuck-ton of almonds.
White;A good sniff.
White;A good, strong gorilla.
White;A gossamer stream of jizz that catches the light as it arcs through the morning air.
White;A homoerotic volleyball montage.
White;A horde of Vikings.
White;A lifetime of sadness.
White;A little boy who won't shut the fuck up about dinosaurs.
White;A live studio audience.
White;A man on the brink of orgasm.
White;A Mexican.
White;A micropenis.
White;A micropig wearing a tiny raincoat and booties.
White;A middle-aged man on roller skates.
White;A mopey zoo lion.
White;A much younger woman.
White;A narc.
White;A pangender octopus who roams the cosmos in search of love.
White;A pyramid of severed heads.
White;A really cool hat.
Black;A recent laboratory study shows that undergraduates have 50% less sex after being exposed to _____.
Black;A romantic, candlelit dinner would be incomplete without _____.
White;A sad handjob.
White;A salad for men that's made of metal.
White;A salty surprise.
White;A saxophone solo.
White;A sea of troubles.
White;A snapping turtle biting the tip of your penis.
White;A sorry excuse for a father.
White;A stray pube.
White;A Super Soaker? full of cat pee.
White;A supportive touch on the lower back.
White;A three-way with my wife and Shaquille O'Neal.
White;A time travel paradox.
White;A tiny horse.
White;A whole thing of butter.
White;A windmill full of corpses.
White;Aaron Burr.
White;Academy Award winner Meryl Streep.
White;Accepting the way things are.
White;Active listening.
White;Adderall.©
Black;After four platinum albums and three Grammys, it's time to get back to my roots, to what inspired me to make music in the first place: _____.
White;Agriculture.
White;AIDS.
White;Alcoholism.
White;Alexandria Ocasio-Cortez.
White;All the dudes I've fucked.
White;All-you-can-eat shrimp for $8.99.
Black;Alternative medicine is now embracing the curative powers of _____.
White;An AR-15 assault rifle.
White;An endless stream of diarrhea.
White;An erection that lasts longer than four hours.
White;An M. Night Shyamalan plot twist.
White;An octopus giving seven handjobs and smoking a cigarette.
White;An Oedipus complex.
White;An old guy who's almost dead.
White;An older woman who knows her way around the penis.
White;An oversized lollipop.
White;An unwanted pregnancy.
White;Anal beads.
Black;And the Academy Award for _____ goes to _____.
White;Announcing that I am about to cum.
Black;Arby's: We Have _____.
White;Arnold Schwarzenegger.
Black;As the mom of five rambunctious boys, I'm no stranger to _____.
White;Assless chaps.
White;Auschwitz.
White;Authentic Mexican cuisine.
White;Autocannibalism.
White;AXE Body Spray.
White;Backing over a kid with the Buick.
White;Balls.
White;Bananas.
White;Barack Obama.
White;Barely making $25,000 a year.
White;BATMAN!
White;Battlefield amputations.
White;Becoming a blueberry.
White;Bees?
White;Being a dick to children.
White;Being a motherfucking sorcerer.
White;Being a woman.
White;Being able to talk to elephants.
White;Being fat and stupid.
White;Being marginalized.
White;Being on fire.
White;Being rich.
White;Bill Nye the Science Guy.
White;Bitches.
White;Black Jesus.
White;Black people.
White;Blowing my boyfriend so hard he shits.
White;Boogers.
White;Braiding three penises into a Twizzler.
White;Breaking out into song and dance.
Black;Brought to you by Bud Light©, the Official Beer of _____.
White;Brown people.
White;Bubble butt bottom boys.
White;Burgers and pussy.
Black;But before I kill you, Mr. Bond, I must show you _____.
White;Cardi B.
White;Cards Against Humanity.
White;Casually suggesting a threesome.
White;Catapults.
White;Chainsaws for hands.
Black;"Check me out, yo! I call this dance move ""_____."""
White;Chemical weapons.
White;Child beauty pageants.
White;Chunks of dead hitchhiker.
Black;Click Here for _____!!!
White;Climbing a telephone pole and becoming one with the T-Mobile network.
White;Coat hanger abortions.
Black;Coming to Broadway this season, _____: The Musical.
White;Committing suicide.
White;Completely unwarranted confidence.
White;Consensual sex.
White;Count Chocula.
White;Covering myself with Parmesan cheese and chili flakes because I am pizza.
White;COVID-19.
White;Crab.
White;Crippling debt.
White;Crumbs all over the god damn carpet.
White;Cuddling.
White;Daddy issues.
Black;Daddy, why is mommy crying?
White;Daniel Radcliffe's delicious asshole.
White;Danny DeVito.
White;Dark and mysterious forces beyond our control.
White;Darth Vader.
White;David Bowie flying in on a tiger made of lightning.
White;Dead babies.
White;Dead birds everywhere.
White;Dead parents.
Black;Dear Abby, I'm having some trouble with _____ and would like your advice.
White;Dick fingers.
White;Dick pics.
White;Doin' it in the butt.
White;Doing crimes.
White;Doing the right thing.
White;Donald J. Trump.
White;Drinking alone.
White;Drinking out of the toilet and eating garbage.
White;Drowning the kids in the bathtub.
White;Dry heaving.
Black;Dude, do not go in that bathroom. There's _____ in there.
Black;During sex, I like to think about _____.
White;"Dwayne ""The Rock"" Johnson."
White;Dying.
White;Eating a hard boiled egg out of my husband's asshole.
White;Elderly Japanese men.
White;Emerging from the sea and rampaging through Tokyo.
White;Emotions.
White;Erectile dysfunction.
White;Establishing dominance.
White;Estrogen.
White;Ethnic cleansing.
White;Exactly what you'd expect.
White;Executing a hostage every hour.
White;Expecting a burp and vomiting on the floor.
White;Explaining how vaginas work.
White;Explaining the difference between sex and gender.
White;Explosions.
White;Extremely tight pants.
White;Fading away into nothingness.
White;Fake tits.
White;Famine.
White;Fancy Feast.©
White;Farting and walking away.
White;Fear itself.
White;Fellowship in Christ.
White;Fiery poops.
